INFO [2019-08-30 05:57:29] queryFootprints(  brain_hint_20),   1 regions,      600 bases:   0.02   0.01   0.85   0.00   0.00
INFO [2019-08-30 05:57:59] queryFootprints(    placenta_fp),   1 regions,      600 bases:   0.02   0.00   6.55   0.00   0.00
INFO [2019-08-30 05:58:07] queryFootprints(  brain_hint_20),   1 regions,      600 bases:   0.02   0.01   0.81   0.00   0.00
INFO [2019-08-30 06:07:24] queryFootprints(    placenta_fp),   1 regions,      600 bases:   0.12   0.00   6.76   0.00   0.00
INFO [2019-08-30 06:12:52] queryFootprints(    placenta_fp),   1 regions,      600 bases:   0.11   0.00   6.64   0.00   0.00
INFO [2019-08-30 06:13:12] queryFootprints(    placenta_fp),   1 regions,      600 bases:   0.01   0.00   7.96   0.00   0.00
INFO [2019-08-30 06:17:01] queryFootprints(    placenta_fp),   1 regions,      600 bases:   0.13   0.00   6.63   0.00   0.00
INFO [2019-08-30 06:17:23] queryFootprints(    placenta_fp),   1 regions,      600 bases:   0.02   0.00   6.59   0.00   0.00
INFO [2019-08-30 06:18:04] queryFootprints(  brain_hint_20),   1 regions,      600 bases:   0.02   0.01   0.93   0.00   0.00
INFO [2019-08-30 06:18:27] queryFootprints(  brain_hint_20),   1 regions,      600 bases:   0.02   0.01   0.97   0.00   0.00
INFO [2019-08-30 06:23:06] queryFootprints(    placenta_fp),   1 regions,      600 bases:   0.13   0.00   6.69   0.00   0.00
INFO [2019-08-30 06:26:56] queryFootprints(    placenta_fp),   1 regions,      600 bases:   0.25   0.00  48.16   0.00   0.00
INFO [2019-08-30 06:32:45] queryFootprints(    placenta_fp),   1 regions,      600 bases:   0.12   0.00  11.32   0.00   0.00
INFO [2019-08-30 06:36:13] queryFootprints(    placenta_fp),   1 regions,      600 bases:   0.13   0.00   6.56   0.00   0.00
INFO [2019-08-30 06:36:36] queryFootprints(  brain_hint_20),   1 regions,      600 bases:   0.03   0.01   0.80   0.00   0.00
INFO [2019-08-30 06:54:21] queryFootprints(    placenta_fp),   1 regions,      600 bases:   0.12   0.00   6.71   0.00   0.00
INFO [2019-08-30 06:55:32] queryFootprints(  brain_hint_20),   1 regions,      600 bases:   0.02   0.00   0.76   0.00   0.00
INFO [2019-08-30 07:40:26] queryFootprints(    placenta_fp),   1 regions,      600 bases:   0.12   0.00   0.61   0.00   0.00
INFO [2019-08-30 07:40:39] queryFootprints(  brain_hint_20),   1 regions,      600 bases:   0.03   0.01   0.86   0.00   0.00
